epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,15181.3,1.59196,0.77725,0.0071,0.85989,0.80902,0.85953,0.45118,1.73951,0.81077,0.01253,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,15436.8,1.58854,0.77758,0.00704,0.85241,0.82108,0.86244,0.45223,1.73384,0.81648,0.0125,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,15690.1,1.57955,0.75921,0.00699,0.86601,0.81613,0.86394,0.45379,1.73842,0.80257,0.01251,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,15942.9,1.57143,0.75646,0.00688,0.86485,0.81885,0.86623,0.45352,1.73491,0.81356,0.01248,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,16197.6,1.58124,0.76315,0.00697,0.86912,0.81495,0.86593,0.45522,1.74026,0.81911,0.01252,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,16451.6,1.5602,0.73762,0.00686,0.87127,0.81695,0.86634,0.45499,1.73617,0.81019,0.0125,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,16705,1.56092,0.73935,0.00688,0.85457,0.82131,0.86469,0.45606,1.72852,0.81395,0.01242,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,16958,1.55407,0.72866,0.00688,0.86911,0.81064,0.86309,0.45441,1.73083,0.81823,0.01246,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,17208.9,1.56115,0.7317,0.00677,0.86951,0.81723,0.86412,0.45351,1.7323,0.82028,0.01244,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,17465,1.55379,0.72795,0.00683,0.87491,0.8164,0.86302,0.45411,1.73366,0.81148,0.01244,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,17719.9,1.54436,0.7185,0.00676,0.87922,0.81164,0.86348,0.4543,1.73283,0.81473,0.0124,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,17975.1,1.53432,0.71907,0.00675,0.87324,0.81213,0.86308,0.45453,1.73443,0.81395,0.01245,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,18228.3,1.53486,0.70795,0.00666,0.87294,0.81178,0.86313,0.45505,1.73551,0.81167,0.01246,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,18481.6,1.53158,0.71581,0.0067,0.87554,0.81401,0.86461,0.45472,1.73733,0.81151,0.01248,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,18737,1.52822,0.70981,0.00666,0.86886,0.81992,0.86522,0.45535,1.73486,0.8158,0.01243,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,18989.2,1.52254,0.70031,0.00665,0.87441,0.81303,0.86365,0.45432,1.73542,0.82134,0.01241,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,19244.1,1.51542,0.69088,0.00662,0.8703,0.8157,0.86242,0.45385,1.73609,0.82294,0.01242,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,19495.1,1.51503,0.69037,0.00663,0.86791,0.81412,0.86241,0.4533,1.73912,0.81831,0.01242,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,19750,1.50843,0.68621,0.00652,0.86343,0.82285,0.86323,0.45363,1.73982,0.81844,0.01242,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,20004.9,1.49235,0.68252,0.00642,0.8689,0.81867,0.86279,0.45391,1.7416,0.81268,0.01241,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,20263.1,1.48791,0.67137,0.00647,0.86614,0.8233,0.86477,0.45453,1.74086,0.81279,0.0124,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,20515.4,1.49551,0.67208,0.00644,0.86875,0.81778,0.86374,0.45449,1.74294,0.81359,0.01242,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,20768.6,1.48793,0.67465,0.00644,0.86662,0.81672,0.86348,0.45485,1.74108,0.8158,0.01239,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,21022,1.47554,0.65498,0.00634,0.87451,0.81018,0.86381,0.45483,1.74187,0.81389,0.01241,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,21275.7,1.48035,0.66412,0.00634,0.86794,0.81634,0.86296,0.45408,1.74203,0.81337,0.0124,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,21528.9,1.4661,0.65266,0.00629,0.86542,0.82073,0.8632,0.4538,1.74412,0.81186,0.01242,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,21781.9,1.46941,0.65147,0.00634,0.87805,0.81236,0.86427,0.4541,1.7447,0.81093,0.01243,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
